dutyName,dutyAddr,latitude,longitude
(의)내경의료재단울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),35.54823820112527,129.30701143429678
(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,35.23602946449906,129.21649161387128
(의)성세의료재단 뉴성민병원,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",37.5089936801167,126.669478649026
(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",37.234641294534285,127.21049868474802
(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),37.240316373,127.2144914405
(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",35.84022544517349,128.70573339664242
KS병원,광주광역시 광산구 왕버들로 220 (수완동),35.197963178976366,126.83322475289853
가톨릭관동대학교국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",37.542372653918065,126.68360486878781
가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),37.4845586499062,126.724708130675
가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",37.4874477394264,126.79243459154999
가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),37.27792234538125,127.02744945028702
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827233800711,126.93673129599131
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),37.633608409726854,126.91615048739686
가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",37.75865547828227,127.07767290194454
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),37.4856188363947,126.956781703053
강남더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",37.5009902618151,127.050967336445
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.485612179925724,127.0395873429168
강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",37.27377983891884,127.11140719951389
강남종합병원,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",35.88300855242191,128.66345602650745
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",37.4816513439454,126.911648078471
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),37.5520459324005,127.157084787845
강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,37.818426685036066,128.85771413305145
강병원,경상남도 고성군 고성읍 중앙로 49,34.97415924940364,128.32528942283565
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.568497631233825,126.96793805451702
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",37.6254205559935,127.026184524499
강서케이병원,"서울특별시 강서구 가로공원로 187, 나누리강서병원 지1층~7층 (화곡동)",37.5373576230977,126.836699017573
강원대학교병원,강원특별자치도 춘천시 백령로 156 (효자동),37.87497158192399,127.74448573764938
강원특별자치도강릉의료원,강원특별자치도 강릉시 경강로 2007 (남문동),37.74931042017154,128.8887963251862
강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 418 (남양동),37.44027922704624,129.16370014395005
강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),38.21622784728713,128.5891194514502
강원특별자치도영월의료원,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),37.186588403987926,128.46530529870284
강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)",37.332496031537154,127.94896203327231
강일병원,경상남도 김해시 가락로 359 (구산동),35.2567043538,128.869611099
거창적십자병원,경상남도 거창군 거창읍 중앙로 91,35.686801911628535,127.90877080146283
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.54084479467721,127.0721229093036
건국대학교충주병원,충청북도 충주시 국원대로 82 (교현동),36.97897509717851,127.92863660615964
검단탑병원,인천광역시 서구 청마로19번길 5 (당하동),37.59241914491385,126.6710400927469
경기도의료원수원병원,경기도 수원시 장안구 수성로245번길 69 (정자동),37.29188165276277,126.99638776108885
